NomeBot;IdOrdem;Data;Odd;Stake;PLR
BACK CASA HT [1.4- 1.79];283413677685;2022-10-08;1.77;2;0.6732
BACK CASA HT [1.4- 1.79];283482262514;2022-10-08;1.45;2;0.7106
BACK CASA HT [1.4- 1.79];283490312981;2022-10-08;1.71;2;-0.31
BACK CASA HT [1.4- 1.79];283490313313;2022-10-08;1.79;2;0.7106
BACK CASA HT [1.4- 1.79];283509472662;2022-10-08;1.41;2;-0.2
BACK CASA HT [1.4- 1.79];283639681928;2022-10-09;1.45;2;0.4488
BACK CASA HT [1.4- 1.79];283716231902;2022-10-09;1.71;2;0.6732
BACK CASA HT [1.4- 1.79];283716658148;2022-10-09;1.51;2;-0.34
BACK CASA HT [1.4- 1.79];283722383282;2022-10-09;1.47;2;-1.16
BACK CASA HT [1.4- 1.79];283881022373;2022-10-11;1.55;2;0.4488
BACK CASA HT [1.4- 1.79];283883362619;2022-10-11;1.52;2;-0.79
BACK CASA HT [1.4- 1.79];283883453425;2022-10-11;1.61;2;-0.31
BACK CASA HT [1.4- 1.79];283929922184;2022-10-12;1.4;2;-0.0999999999999999
BACK CASA HT [1.4- 1.79];283966952315;2022-10-12;1.55;2;0.0374
BACK CASA HT [1.4- 1.79];283981460850;2022-10-12;1.55;2;0.4488
BACK CASA HT [1.4- 1.79];283981736701;2022-10-12;1.63;2;-0.72
BACK CASA HT [1.4- 1.79];283998680778;2022-10-13;1.44;2;-0.16
BACK CASA HT [1.4- 1.79];284208746889;2022-10-14;1.71;2;0.73865
BACK CASA HT [1.4- 1.79];284303375901;2022-10-15;1.44;2;-0.86
BACK CASA HT [1.4- 1.79];284337865988;2022-10-15;1.6;2;0.58905
BACK CASA HT [1.4- 1.79];284445546633;2022-10-16;1.69;2;-0.73
BACK CASA HT [1.4- 1.79];284459114187;2022-10-16;1.63;2;-0.76
BACK CASA HT [1.4- 1.79];284497459326;2022-10-16;1.52;2;0.47685
BACK CASA HT [1.4- 1.79];284524719219;2022-10-16;1.41;2;-0.74
BACK CASA HT [1.4- 1.79];285019375632;2022-10-21;1.5;2;0.4675
BACK CASA HT [1.4- 1.79];285459492329;2022-10-24;1.46;2;-1.06
BACK CASA HT [1.4- 1.79];285519501190;2022-10-25;1.52;2;-0.3
BACK CASA HT [1.4- 1.79];285531799374;2022-10-25;1.61;2;-0.91
