NomeBot;IdOrdem;Data;Odd;Stake;PLR
BACK CASA HT [1.4- 1.79];2.83E+16;08/10/2022;1.77;2;0.6732
BACK CASA HT [1.4- 1.79];2.83E+16;08/10/2022;1.45;2;0.7106
BACK CASA HT [1.4- 1.79];2.83E+15;08/10/2022;1.71;2;-0.31
BACK CASA HT [1.4- 1.79];2.83E+15;08/10/2022;1.79;2;0.7106
BACK CASA HT [1.4- 1.79];2.84E+16;08/10/2022;1.41;2;-0.2
BACK CASA HT [1.4- 1.79];2.84E+15;09/10/2022;1.45;2;0.4488
BACK CASA HT [1.4- 1.79];2.84E+16;09/10/2022;1.71;2;0.6732
BACK CASA HT [1.4- 1.79];2.84E+16;09/10/2022;1.51;2;-0.34
BACK CASA HT [1.4- 1.79];2.84E+16;09/10/2022;1.47;2;-1.16
BACK CASA HT [1.4- 1.79];2.84E+16;11/10/2022;1.55;2;0.4488
BACK CASA HT [1.4- 1.79];2.84E+16;11/10/2022;1.52;2;-0.79
BACK CASA HT [1.4- 1.79];2.84E+16;11/10/2022;1.61;2;-0.31
BACK CASA HT [1.4- 1.79];2.84E+15;12/10/2022;1.4;2;-0.1
BACK CASA HT [1.4- 1.79];2.84E+16;12/10/2022;1.55;2;0.0374
BACK CASA HT [1.4- 1.79];2.84E+16;12/10/2022;1.55;2;0.4488
BACK CASA HT [1.4- 1.79];2.84E+16;12/10/2022;1.63;2;-0.72
BACK CASA HT [1.4- 1.79];2.84E+16;13/10/2022;1.44;2;-0.16
BACK CASA HT [1.4- 1.79];2.84E+16;14/10/2022;1.71;2;0.73865
BACK CASA HT [1.4- 1.79];2.84E+16;15/10/2022;1.44;2;-0.86
BACK CASA HT [1.4- 1.79];2.84E+16;15/10/2022;1.6;2;0.58905
BACK CASA HT [1.4- 1.79];2.84E+16;16/10/2022;1.69;2;-0.73
BACK CASA HT [1.4- 1.79];2.84E+16;16/10/2022;1.63;2;-0.76
BACK CASA HT [1.4- 1.79];2.84E+16;16/10/2022;1.52;2;0.47685
BACK CASA HT [1.4- 1.79];2.85E+16;16/10/2022;1.41;2;-0.74
BACK CASA HT [1.4- 1.79];2.85E+16;21/10/2022;1.5;2;0.4675
BACK CASA HT [1.4- 1.79];2.85E+16;24/10/2022;1.46;2;-1.06
BACK CASA HT [1.4- 1.79];2.86E+15;25/10/2022;1.52;2;-0.3
BACK CASA HT [1.4- 1.79];2.86E+16;25/10/2022;1.61;2;-0.91
BACK CASA HT [1.4- 1.79];2.86E+16;25/10/2022;1.69;2;0.561
BACK CASA HT [1.4- 1.79];2.87E+16;05/11/2022;1.67;2;0.5236
