NomeBot;IdOrdem;Data;Odd;Stake;PLR
BACK FORA HT [1.4- 1.79];283380051802;2022-10-07;1.65;2;0.02805
BACK FORA HT [1.4- 1.79];284303692186;2022-10-15;1.41;2;-0.0499999999999999
BACK FORA HT [1.4- 1.79];284718266995;2022-10-18;1.78;2;-0.3
BACK FORA HT [1.4- 1.79];285093842830;2022-10-22;1.81;2;-0.35
BACK FORA HT [1.4- 1.79];285127702225;2022-10-22;1.57;2;0.49555
BACK FORA HT [1.4- 1.79];285356850197;2022-10-23;1.77;2;-1.14
BACK FORA HT [1.4- 1.79];286687950985;2022-11-05;1.75;2;0.66385
BACK FORA HT [1.4- 1.79];286688357239;2022-11-05;1.78;2;0.60775
BACK FORA HT [1.4- 1.79];286730513938;2022-11-05;1.68;2;0.00935000000000001
BACK FORA HT [1.4- 1.79];286763099984;2022-11-05;1.63;2;-0.0600000000000001
BACK FORA HT [1.4- 1.79];286786879849;2022-11-05;1.41;2;0.40205
BACK FORA HT [1.4- 1.79];286821890472;2022-11-05;1.76;2;-0.01
BACK FORA HT [1.4- 1.79];287546662047;2022-11-12;1.39;2;0.0374
BACK FORA HT [1.4- 1.79];287558828962;2022-11-12;1.71;2;-0.0299999999999998
BACK FORA HT [1.4- 1.79];287586180938;2022-11-12;1.4;2;0.4114
BACK FORA HT [1.4- 1.79];287730168947;2022-11-13;1.77;2;0.7106
BACK FORA HT [1.4- 1.79];291685082549;2023-01-02;1.52;2;0
BACK FORA HT [1.4- 1.79];291685211413;2023-01-02;1.8;2;0.2618
BACK FORA HT [1.4- 1.79];291771121993;2023-01-03;1.75;2;-0.28
BACK FORA HT [1.4- 1.79];291855968411;2023-01-04;1.43;2;0.51425
BACK FORA HT [1.4- 1.79];291857074047;2023-01-04;1.41;2;0.42075
BACK FORA HT [1.4- 1.79];292953039252;2023-01-15;1.49;2;-0.0499999999999998
BACK FORA HT [1.4- 1.79];293345010763;2023-01-20;1.44;2;0.3553
BACK FORA HT [1.4- 1.79];293507671256;2023-01-21;1.46;2;-0.02
BACK FORA HT [1.4- 1.79];293664681786;2023-01-22;1.54;2;0.0280500000000002
BACK FORA HT [1.4- 1.79];294275676094;2023-01-28;1.62;2;-0.25
BACK FORA HT [1.4- 1.79];294351038191;2023-01-29;1.73;2;0.8041
BACK FORA HT [1.4- 1.79];295088944805;2023-02-04;1.49;2;-0.92
BACK FORA HT [1.4- 1.79];296031079001;2023-02-12;1.49;2;-0.33
BACK FORA HT [1.4- 1.79];296078622864;2023-02-12;1.61;2;-0.33
BACK FORA HT [1.4- 1.79];296610979991;2023-02-18;1.71;2;0.75735
BACK FORA HT [1.4- 1.79];296703819301;2023-02-18;1.53;2;0.00935000000000001
BACK FORA HT [1.4- 1.79];297122231196;2023-02-21;1.4;2;-0.36
BACK FORA HT [1.4- 1.79];297523484108;2023-02-25;1.73;2;0.0374
BACK FORA HT [1.4- 1.79];297553973907;2023-02-25;1.83;2;0.8228
BACK FORA HT [1.4- 1.79];297565087339;2023-02-25;1.55;2;0.55165
BACK FORA HT [1.4- 1.79];297778105856;2023-02-26;1.52;2;-0.67
BACK FORA HT [1.4- 1.79];298111877759;2023-03-02;1.8;2;0.75735
BACK FORA HT [1.4- 1.79];298308258237;2023-03-03;1.69;2;-0.36
BACK FORA HT [1.4- 1.79];298450500912;2023-03-04;1.44;2;-0.3
BACK FORA HT [1.4- 1.79];298639990010;2023-03-05;1.81;2;-0.24
BACK FORA HT [1.4- 1.79];298661324812;2023-03-06;1.66;2;-0.67
BACK FORA HT [1.4- 1.79];298825788416;2023-03-07;1.54;2;-0.01
BACK FORA HT [1.4- 1.79];299835913015;2023-03-15;1.62;2;0.58905
BACK FORA HT [1.4- 1.79];300107685259;2023-03-18;1.73;2;0
BACK FORA HT [1.4- 1.79];300605192902;2023-03-21;1.74;2;0.64515
BACK FORA HT [1.4- 1.79];301813890244;2023-04-01;1.4;2;0.4675
BACK FORA HT [1.4- 1.79];302623010565;2023-04-08;1.66;2;0
BACK FORA HT [1.4- 1.79];302694911908;2023-04-08;1.6;2;0.5049
BACK FORA HT [1.4- 1.79];303223466528;2023-04-13;1.58;2;-0.76
BACK FORA HT [1.4- 1.79];303310653854;2023-04-13;1.58;2;-0.2
BACK FORA HT [1.4- 1.79];304427886390;2023-04-22;1.55;2;0.0374
BACK FORA HT [1.4- 1.79];304500572198;2023-04-22;1.68;2;0.00935000000000001
BACK FORA HT [1.4- 1.79];304863843433;2023-04-25;1.63;2;-0.78
