NomeBot;IdOrdem;Data;Odd;Stake;PLR
BACK FORA HT [1.4- 1.79];2.8338E+11;07/10/2022;1.65;2;0.02805
BACK FORA HT [1.4- 1.79];2.84304E+11;15/10/2022;1.41;2;-0.05
BACK FORA HT [1.4- 1.79];2.84718E+11;18/10/2022;1.78;2;-0.3
BACK FORA HT [1.4- 1.79];2.85094E+11;22/10/2022;1.81;2;-0.35
BACK FORA HT [1.4- 1.79];2.85128E+11;22/10/2022;1.57;2;0.49555
BACK FORA HT [1.4- 1.79];2.85357E+11;23/10/2022;1.77;2;-1.14
BACK FORA HT [1.4- 1.79];2.86688E+11;05/11/2022;1.75;2;0.66385
BACK FORA HT [1.4- 1.79];2.86688E+11;05/11/2022;1.78;2;0.60775
BACK FORA HT [1.4- 1.79];2.86731E+11;05/11/2022;1.68;2;0.00935
BACK FORA HT [1.4- 1.79];2.86763E+11;05/11/2022;1.63;2;-0.06
BACK FORA HT [1.4- 1.79];2.86787E+11;05/11/2022;1.41;2;0.40205
BACK FORA HT [1.4- 1.79];2.86822E+11;05/11/2022;1.76;2;-0.01
BACK FORA HT [1.4- 1.79];2.87547E+11;12/11/2022;1.39;2;0.0374
BACK FORA HT [1.4- 1.79];2.87559E+11;12/11/2022;1.71;2;-0.03
BACK FORA HT [1.4- 1.79];2.87586E+11;12/11/2022;1.4;2;0.4114
BACK FORA HT [1.4- 1.79];2.8773E+11;13/11/2022;1.77;2;0.7106
BACK FORA HT [1.4- 1.79];2.91685E+11;02/01/2023;1.52;2;0
BACK FORA HT [1.4- 1.79];2.91685E+11;02/01/2023;1.8;2;0.2618
BACK FORA HT [1.4- 1.79];2.91771E+11;03/01/2023;1.75;2;-0.28
BACK FORA HT [1.4- 1.79];2.91856E+11;04/01/2023;1.43;2;0.51425
BACK FORA HT [1.4- 1.79];2.91857E+11;04/01/2023;1.41;2;0.42075
BACK FORA HT [1.4- 1.79];2.92953E+11;15/01/2023;1.49;2;-0.05
BACK FORA HT [1.4- 1.79];2.93345E+11;20/01/2023;1.44;2;0.3553
BACK FORA HT [1.4- 1.79];2.93508E+11;21/01/2023;1.46;2;-0.02
BACK FORA HT [1.4- 1.79];2.93665E+11;22/01/2023;1.54;2;0.02805
BACK FORA HT [1.4- 1.79];2.94276E+11;28/01/2023;1.62;2;-0.25
BACK FORA HT [1.4- 1.79];2.94351E+11;29/01/2023;1.73;2;0.8041
BACK FORA HT [1.4- 1.79];2.95089E+11;04/02/2023;1.49;2;-0.92
BACK FORA HT [1.4- 1.79];2.96031E+11;12/02/2023;1.49;2;-0.33
BACK FORA HT [1.4- 1.79];2.96079E+11;12/02/2023;1.61;2;-0.33
BACK FORA HT [1.4- 1.79];2.96611E+11;18/02/2023;1.71;2;0.75735
BACK FORA HT [1.4- 1.79];2.96704E+11;18/02/2023;1.53;2;0.00935
BACK FORA HT [1.4- 1.79];2.97122E+11;21/02/2023;1.4;2;-0.36
BACK FORA HT [1.4- 1.79];2.97523E+11;25/02/2023;1.73;2;0.0374
BACK FORA HT [1.4- 1.79];2.97554E+11;25/02/2023;1.83;2;0.8228
BACK FORA HT [1.4- 1.79];2.97565E+11;25/02/2023;1.55;2;0.55165
BACK FORA HT [1.4- 1.79];2.97778E+11;26/02/2023;1.52;2;-0.67
BACK FORA HT [1.4- 1.79];2.98112E+11;02/03/2023;1.8;2;0.75735
BACK FORA HT [1.4- 1.79];2.98308E+11;03/03/2023;1.69;2;-0.36
BACK FORA HT [1.4- 1.79];2.98451E+11;04/03/2023;1.44;2;-0.3
BACK FORA HT [1.4- 1.79];2.9864E+11;05/03/2023;1.81;2;-0.24
BACK FORA HT [1.4- 1.79];2.98661E+11;06/03/2023;1.66;2;-0.67
BACK FORA HT [1.4- 1.79];2.98826E+11;07/03/2023;1.54;2;-0.01
BACK FORA HT [1.4- 1.79];2.99836E+11;15/03/2023;1.62;2;0.58905
BACK FORA HT [1.4- 1.79];3.00108E+11;18/03/2023;1.73;2;0
BACK FORA HT [1.4- 1.79];3.00605E+11;21/03/2023;1.74;2;0.64515
BACK FORA HT [1.4- 1.79];3.01814E+11;01/04/2023;1.4;2;0.4675
BACK FORA HT [1.4- 1.79];3.02623E+11;08/04/2023;1.66;2;0
BACK FORA HT [1.4- 1.79];3.02695E+11;08/04/2023;1.6;2;0.5049
BACK FORA HT [1.4- 1.79];3.03223E+11;13/04/2023;1.58;2;-0.76
BACK FORA HT [1.4- 1.79];3.03311E+11;13/04/2023;1.58;2;-0.2
BACK FORA HT [1.4- 1.79];3.04428E+11;22/04/2023;1.55;2;0.0374
BACK FORA HT [1.4- 1.79];3.04501E+11;22/04/2023;1.68;2;0.00935
BACK FORA HT [1.4- 1.79];3.04864E+11;25/04/2023;1.63;2;-0.78
BACK FORA HT [1.4- 1.79];3.04988E+11;26/04/2023;1.75;2;-1.05
BACK FORA HT [1.4- 1.79];3.04996E+11;26/04/2023;1.71;2;-0.77
BACK FORA HT [1.4- 1.79];3.04997E+11;26/04/2023;1.49;2;0.49555
BACK FORA HT [1.4- 1.79];3.0533E+11;29/04/2023;1.46;2;0.02805
BACK FORA HT [1.4- 1.79];3.06214E+11;06/05/2023;1.78;2;-0.05
BACK FORA HT [1.4- 1.79];3.06406E+11;07/05/2023;1.53;2;-0.98
BACK FORA HT [1.4- 1.79];3.08017E+11;20/05/2023;1.48;2;0.561
BACK FORA HT [1.4- 1.79];3.08534E+11;25/05/2023;1.58;2;-0.32
BACK FORA HT [1.4- 1.79];3.08642E+11;26/05/2023;1.46;2;-0.35
BACK FORA HT [1.4- 1.79];3.09201E+11;30/05/2023;1.8;2;0.77605
BACK FORA HT [1.8- 2.2];2.83449E+11;08/10/2022;2.14;2;0.90695
BACK FORA HT [1.8- 2.2];2.83529E+11;08/10/2022;1.91;2;0.70125
BACK FORA HT [1.8- 2.2];2.8357E+11;08/10/2022;2.04;2;-0.35
BACK FORA HT [1.8- 2.2];2.84199E+11;14/10/2022;2.16;2;-0.19
