NomeBot;IDOrdem;Data;Odd;Stake;PL
OVER 0.5 HT [1.48- 1.7];283445654693;2022-10-08;1.63;2;1.26
OVER 0.5 HT [1.48- 1.7];283449569743;2022-10-08;1.51;2;-2
OVER 0.5 HT [1.48- 1.7];283481740408;2022-10-08;1.6;2;1.2
OVER 0.5 HT [1.48- 1.7];283482525825;2022-10-08;1.53;2;1.06
OVER 0.5 HT [1.48- 1.7];283524434223;2022-10-08;1.65;2;1.3
OVER 0.5 HT [1.48- 1.7];283551145511;2022-10-08;1.66;2;1.32
OVER 0.5 HT [1.48- 1.7];283628223584;2022-10-09;1.55;2;-2
OVER 0.5 HT [1.48- 1.7];283646434270;2022-10-09;1.64;2;1.28
OVER 0.5 HT [1.48- 1.7];283646993509;2022-10-09;1.64;2;1.28
OVER 0.5 HT [1.48- 1.7];283881022758;2022-10-11;1.48;2;0.96
OVER 0.5 HT [1.48- 1.7];284215433002;2022-10-15;1.67;2;1.34
OVER 0.5 HT [1.48- 1.7];284295760925;2022-10-15;1.61;2;1.22
OVER 0.5 HT [1.48- 1.7];284296216078;2022-10-15;1.5;2;1
OVER 0.5 HT [1.48- 1.7];284359034526;2022-10-15;1.51;2;1.02
OVER 0.5 HT [1.48- 1.7];284429735098;2022-10-16;1.48;2;-2
OVER 0.5 HT [1.48- 1.7];284523828159;2022-10-16;1.68;2;-2
OVER 0.5 HT [1.48- 1.7];285019376124;2022-10-21;1.67;2;1.34
OVER 0.5 HT [1.48- 1.7];285042392175;2022-10-21;1.69;2;1.38
OVER 0.5 HT [1.48- 1.7];285093528419;2022-10-22;1.58;2;-2
OVER 0.5 HT [1.48- 1.7];285094033978;2022-10-22;1.51;2;-2
OVER 0.5 HT [1.48- 1.7];285127702280;2022-10-22;1.54;2;1.08
OVER 0.5 HT [1.48- 1.7];285136438391;2022-10-22;1.63;2;1.26
OVER 0.5 HT [1.48- 1.7];285136618364;2022-10-22;1.58;2;1.16
OVER 0.5 HT [1.48- 1.7];286633234797;2022-11-04;1.51;2;-2
OVER 0.5 HT [1.48- 1.7];286761747836;2022-11-05;1.56;2;1.12
OVER 0.5 HT [1.48- 1.7];286804342686;2022-11-05;1.47;2;0.94
OVER 0.5 HT [1.48- 1.7];286936458894;2022-11-06;1.68;2;1.36
OVER 0.5 HT [1.48- 1.7];286974970493;2022-11-06;1.65;2;1.3
OVER 0.5 HT [1.48- 1.7];286975215815;2022-11-06;1.52;2;1.04
