NomeBot;IdOrdem;Data;Odd;Stake;PL
OVER 0.5 HT [1.48- 1.7];283413677913;2022-10-08;1.54;2;1.08
OVER 0.5 HT [1.48- 1.7];283418721424;2022-10-08;1.5;2;1
OVER 0.5 HT [1.48- 1.7];283445654693;2022-10-08;1.63;2;1.26
OVER 0.5 HT [1.48- 1.7];283449207262;2022-10-08;1.57;2;1.14
OVER 0.5 HT [1.48- 1.7];283449569743;2022-10-08;1.51;2;-2
OVER 0.5 HT [1.48- 1.7];283449653968;2022-10-08;1.53;2;-2
OVER 0.5 HT [1.48- 1.7];283454659247;2022-10-08;1.51;2;1.02
OVER 0.5 HT [1.48- 1.7];283459722246;2022-10-08;1.61;2;-2
OVER 0.5 HT [1.48- 1.7];283473399149;2022-10-08;1.49;2;0.98
OVER 0.5 HT [1.48- 1.7];283481740408;2022-10-08;1.6;2;1.2
OVER 0.5 HT [1.48- 1.7];283481882887;2022-10-08;1.61;2;-2
OVER 0.5 HT [1.48- 1.7];283482384357;2022-10-08;1.6;2;1.2
OVER 0.5 HT [1.48- 1.7];283482525825;2022-10-08;1.53;2;1.06
OVER 0.5 HT [1.48- 1.7];283490314749;2022-10-08;1.6;2;-2
OVER 0.5 HT [1.48- 1.7];283490728718;2022-10-08;1.68;2;1.36
OVER 0.5 HT [1.48- 1.7];283490728973;2022-10-08;1.63;2;1.26
OVER 0.5 HT [1.48- 1.7];283490729019;2022-10-08;1.69;2;-2
OVER 0.5 HT [1.48- 1.7];283490729055;2022-10-08;1.69;2;-2
OVER 0.5 HT [1.48- 1.7];283490917644;2022-10-08;1.55;2;1.1
OVER 0.5 HT [1.48- 1.7];283492545373;2022-10-08;1.62;2;1.24
OVER 0.5 HT [1.48- 1.7];283497279975;2022-10-08;1.69;2;-2
OVER 0.5 HT [1.48- 1.7];283500629039;2022-10-08;1.65;2;1.3
OVER 0.5 HT [1.48- 1.7];283508828353;2022-10-08;1.48;2;0.96
OVER 0.5 HT [1.48- 1.7];283509178365;2022-10-08;1.5;2;-2
OVER 0.5 HT [1.48- 1.7];283509767100;2022-10-08;1.48;2;-2
OVER 0.5 HT [1.48- 1.7];283524434223;2022-10-08;1.65;2;1.3
OVER 0.5 HT [1.48- 1.7];283529689851;2022-10-08;1.65;2;-2
OVER 0.5 HT [1.48- 1.7];283530011000;2022-10-08;1.51;2;1.02
OVER 0.5 HT [1.48- 1.7];283534403829;2022-10-08;1.49;2;0.98
OVER 0.5 HT [1.48- 1.7];283534859747;2022-10-08;1.65;2;1.3
OVER 0.5 HT [1.48- 1.7];283549163637;2022-10-08;1.52;2;1.04
OVER 0.5 HT [1.48- 1.7];283551145511;2022-10-08;1.66;2;1.32
OVER 0.5 HT [1.48- 1.7];283553656907;2022-10-08;1.5;2;-2
OVER 0.5 HT [1.48- 1.7];283618353006;2022-10-09;1.66;2;-2
OVER 0.5 HT [1.48- 1.7];283619318359;2022-10-09;1.66;2;-2
OVER 0.5 HT [1.48- 1.7];283628223584;2022-10-09;1.55;2;-2
OVER 0.5 HT [1.48- 1.7];283628511224;2022-10-09;1.52;2;1.04
OVER 0.5 HT [1.48- 1.7];283628793684;2022-10-09;1.6;2;1.2
OVER 0.5 HT [1.48- 1.7];283633680292;2022-10-09;1.61;2;-2
OVER 0.5 HT [1.48- 1.7];283639893784;2022-10-09;1.48;2;0.96
OVER 0.5 HT [1.48- 1.7];283639893805;2022-10-09;1.51;2;1.02
OVER 0.5 HT [1.48- 1.7];283640015579;2022-10-09;1.48;2;0.96
OVER 0.5 HT [1.48- 1.7];283641232657;2022-10-09;1.64;2;1.28
OVER 0.5 HT [1.48- 1.7];283646434270;2022-10-09;1.64;2;1.28
OVER 0.5 HT [1.48- 1.7];283646993509;2022-10-09;1.64;2;1.28
OVER 0.5 HT [1.48- 1.7];283646993490;2022-10-09;1.59;2;1.18
OVER 0.5 HT [1.48- 1.7];283648132449;2022-10-09;1.68;2;-2
OVER 0.5 HT [1.48- 1.7];283654498969;2022-10-09;1.53;2;1.06
OVER 0.5 HT [1.48- 1.7];283659114716;2022-10-09;1.59;2;-2
OVER 0.5 HT [1.48- 1.7];283665428579;2022-10-09;1.49;2;-2
OVER 0.5 HT [1.48- 1.7];283673194617;2022-10-09;1.66;2;1.32
OVER 0.5 HT [1.48- 1.7];283678750499;2022-10-09;1.57;2;1.14
OVER 0.5 HT [1.48- 1.7];283683281445;2022-10-09;1.69;2;1.38
OVER 0.5 HT [1.48- 1.7];283694316072;2022-10-09;1.51;2;1.02
OVER 0.5 HT [1.48- 1.7];283700683860;2022-10-09;1.68;2;1.36
OVER 0.5 HT [1.48- 1.7];283701141071;2022-10-09;1.49;2;-2
OVER 0.5 HT [1.48- 1.7];283701451364;2022-10-09;1.66;2;-2
OVER 0.5 HT [1.48- 1.7];283702434200;2022-10-09;1.48;2;0.96
OVER 0.5 HT [1.48- 1.7];283712402213;2022-10-09;1.69;2;1.38
OVER 0.5 HT [1.48- 1.7];283716231984;2022-10-09;1.48;2;0.96
OVER 0.5 HT [1.48- 1.7];283716386954;2022-10-09;1.58;2;1.16
OVER 0.5 HT [1.48- 1.7];283716658175;2022-10-09;1.5;2;-2
OVER 0.5 HT [1.48- 1.7];283716760707;2022-10-09;1.51;2;1.02
OVER 0.5 HT [1.48- 1.7];283716760736;2022-10-09;1.48;2;-2
OVER 0.5 HT [1.48- 1.7];283724860492;2022-10-09;1.54;2;-2
