NomeBot;IdOrdem;Data;Odd;Stake;PLR
OVER 0.5 HT [1.48- 1.7];2,83E+11;08/10/2022;1.63;2;11.781
OVER 0.5 HT [1.48- 1.7];2,83E+11;08/10/2022;1.51;2;-2
OVER 0.5 HT [1.48- 1.7];2,83E+11;08/10/2022;1.6;2;1.122
OVER 0.5 HT [1.48- 1.7];2,83E+11;08/10/2022;1.53;2;0.9911
OVER 0.5 HT [1.48- 1.7];2,84E+11;08/10/2022;1.65;2;12.155
OVER 0.5 HT [1.48- 1.7];2,84E+11;08/10/2022;1.66;2;12.342
OVER 0.5 HT [1.48- 1.7];2,84E+11;09/10/2022;1.55;2;-2
OVER 0.5 HT [1.48- 1.7];2,84E+11;09/10/2022;1.64;2;11.968
OVER 0.5 HT [1.48- 1.7];2,84E+11;09/10/2022;1.64;2;11.968
OVER 0.5 HT [1.48- 1.7];2,84E+11;11/10/2022;1.48;2;0.8976
OVER 0.5 HT [1.48- 1.7];2,84E+11;15/10/2022;1.67;2;12.529
OVER 0.5 HT [1.48- 1.7];2,84E+11;15/10/2022;1.61;2;11.407
OVER 0.5 HT [1.48- 1.7];2,84E+11;15/10/2022;1.5;2;0.935
OVER 0.5 HT [1.48- 1.7];2,84E+11;15/10/2022;1.51;2;0.9537
OVER 0.5 HT [1.48- 1.7];2,84E+11;16/10/2022;1.48;2;-2
OVER 0.5 HT [1.48- 1.7];2,85E+11;16/10/2022;1.68;2;-2
OVER 0.5 HT [1.48- 1.7];2,85E+11;21/10/2022;1.67;2;12.529
OVER 0.5 HT [1.48- 1.7];2,85E+11;21/10/2022;1.69;2;12.903
OVER 0.5 HT [1.48- 1.7];2,85E+11;22/10/2022;1.58;2;-2
OVER 0.5 HT [1.48- 1.7];2,85E+11;22/10/2022;1.51;2;-2
OVER 0.5 HT [1.48- 1.7];2,85E+11;22/10/2022;1.54;2;10.098
OVER 0.5 HT [1.48- 1.7];2,85E+11;22/10/2022;1.63;2;11.781
OVER 0.5 HT [1.48- 1.7];2,85E+11;22/10/2022;1.58;2;10.846
OVER 0.5 HT [1.48- 1.7];2,87E+11;04/11/2022;1.51;2;-2
OVER 0.5 HT [1.48- 1.7];2,87E+11;05/11/2022;1.56;2;10.472
OVER 0.5 HT [1.48- 1.7];2,87E+11;05/11/2022;1.47;2;0.8789
OVER 0.5 HT [1.48- 1.7];2,87E+11;06/11/2022;1.68;2;12.716
OVER 0.5 HT [1.48- 1.7];2,87E+11;06/11/2022;1.65;2;12.155
OVER 0.5 HT [1.48- 1.7];2,87E+11;06/11/2022;1.52;2;0.9724
OVER 0.5 HT [1.48- 1.7];2,87E+11;08/11/2022;1.5;2;-2
OVER 0.5 HT [1.48- 1.7];2,87E+11;08/11/2022;1.6;2;-2
OVER 0.5 HT [1.48- 1.7];2,87E+11;09/11/2022;1.54;2;-2
OVER 0.5 HT [1.48- 1.7];2,87E+11;09/11/2022;1.5;2;0.935
OVER 0.5 HT [1.48- 1.7];2,87E+11;10/11/2022;1.6;2;-2
OVER 0.5 HT [1.48- 1.7];2,88E+11;12/11/2022;1.48;2;0.8976
OVER 0.5 HT [1.48- 1.7];2,88E+11;12/11/2022;1.51;2;0.9537
OVER 0.5 HT [1.48- 1.7];2,88E+11;12/11/2022;1.54;2;10.098
OVER 0.5 HT [1.48- 1.7];2,88E+11;12/11/2022;1.64;2;11.968
OVER 0.5 HT [1.48- 1.7];2,88E+11;12/11/2022;1.68;2;12.716
OVER 0.5 HT [1.48- 1.7];2,88E+11;12/11/2022;1.64;2;11.968
OVER 0.5 HT [1.48- 1.7];2,88E+11;12/11/2022;1.51;2;-2
OVER 0.5 HT [1.48- 1.7];2,88E+11;12/11/2022;1.57;2;10.659
OVER 0.5 HT [1.48- 1.7];2,88E+11;12/11/2022;1.63;2;-2
OVER 0.5 HT [1.48- 1.7];2,88E+11;12/11/2022;1.64;2;11.968
OVER 0.5 HT [1.48- 1.7];2,88E+11;13/11/2022;1.49;2;0.9163
OVER 0.5 HT [1.48- 1.7];2,88E+11;13/11/2022;1.68;2;12.716
OVER 0.5 HT [1.48- 1.7];2,88E+11;14/11/2022;1.59;2;11.033
OVER 0.5 HT [1.48- 1.7];2,92E+11;01/01/2023;1.62;2;11.594
OVER 0.5 HT [1.48- 1.7];2,92E+11;05/01/2023;1.61;2;11.407
OVER 0.5 HT [1.48- 1.7];2,92E+11;05/01/2023;1.5;2;0.935
OVER 0.5 HT [1.48- 1.7];2,92E+11;08/01/2023;1.68;2;12.716
OVER 0.5 HT [1.48- 1.7];2,92E+11;08/01/2023;1.47;2;-2
OVER 0.5 HT [1.48- 1.7];2,92E+11;08/01/2023;1.64;2;11.968
OVER 0.5 HT [1.48- 1.7];2,93E+11;13/01/2023;1.65;2;12.155
OVER 0.5 HT [1.48- 1.7];2,93E+11;14/01/2023;1.67;2;12.529
OVER 0.5 HT [1.48- 1.7];2,93E+11;14/01/2023;1.64;2;11.968
OVER 0.5 HT [1.48- 1.7];2,93E+11;14/01/2023;1.58;2;10.846
OVER 0.5 HT [1.48- 1.7];2,93E+11;14/01/2023;1.68;2;12.716
OVER 0.5 HT [1.48- 1.7];2,93E+11;14/01/2023;1.6;2;-2
OVER 0.5 HT [1.48- 1.7];2,93E+11;15/01/2023;1.5;2;0.935
OVER 0.5 HT [1.48- 1.7];2,93E+11;15/01/2023;1.66;2;12.342
