ID do Bot;Nome do Bot;ID da ordem;Data;Stake;Odd;Tipo;P/L;Seleção;ID da Seleção;Evento;ID do Evento;Mercado;ID do Mercado;Tipo do Mercado
62;OVER 0.5 HT [1.71- 2];276299150869;2022-08-07T02:57:24.237Z;2;1.84;BACK;-2;Over 0.5 Goals;5851483;Portland Timbers v FC Dallas;31625493;FIRST_HALF_GOALS_05;1.201533987;FIRST_HALF_GOALS_05
62;OVER 0.5 HT [1.71- 2];276359151119;2022-08-07T14:16:13.296Z;2;1.9;BACK;-2;Over 0.5 Goals;5851483;Dundee Utd v Livingston;31614044;FIRST_HALF_GOALS_05;1.201405064;FIRST_HALF_GOALS_05
62;OVER 0.5 HT [1.71- 2];276364954606;2022-08-07T14:44:17.578Z;2;1.98;BACK;-2;Over 0.5 Goals;5851483;Santa Clara v Casa Pia;31627487;FIRST_HALF_GOALS_05;1.201585595;FIRST_HALF_GOALS_05
62;OVER 0.5 HT [1.71- 2];276368654604;2022-08-07T15:07:18.733Z;2;1.8;BACK;-2;Over 0.5 Goals;5851483;AZ Alkmaar v Go Ahead Eagles;31629726;FIRST_HALF_GOALS_05;1.201607876;FIRST_HALF_GOALS_05
62;OVER 0.5 HT [1.71- 2];276376160383;2022-08-07T15:46:18.360Z;2;1.71;BACK;-2;Over 0.5 Goals;5851483;FC Koln v Schalke 04;31536151;FIRST_HALF_GOALS_05;1.200289235;FIRST_HALF_GOALS_05
62;OVER 0.5 HT [1.71- 2];276381804196;2022-08-07T16:15:17.711Z;2;1.89;BACK;-2;Over 0.5 Goals;5851483;Aldosivi v Huracan;31630993;FIRST_HALF_GOALS_05;1.201633055;FIRST_HALF_GOALS_05
62;OVER 0.5 HT [1.71- 2];276398767733;2022-08-07T18:11:44.392Z;2;1.73;BACK;-2;Over 0.5 Goals;5851483;San Lorenzo v Estudiantes;31631007;FIRST_HALF_GOALS_05;1.201632695;FIRST_HALF_GOALS_05
62;OVER 0.5 HT [1.71- 2];276408316094;2022-08-07T19:19:47.785Z;2;2;BACK;2;Over 0.5 Goals;5851483;Deportivo Pasto v Atletico Bucaramanga;31631433;FIRST_HALF_GOALS_05;1.201641178;FIRST_HALF_GOALS_05
62;OVER 0.5 HT [1.71- 2];276412107661;2022-08-07T19:44:20.710Z;2;1.8;BACK;1.6;Over 0.5 Goals;5851483;Chaves v Guimaraes;31629795;FIRST_HALF_GOALS_05;1.201609077;FIRST_HALF_GOALS_05
62;OVER 0.5 HT [1.71- 2];276418221026;2022-08-07T20:43:17.082Z;2;1.74;BACK;-2;Over 0.5 Goals;5851483;CA Independiente v River Plate;31631006;FIRST_HALF_GOALS_05;1.201632785;FIRST_HALF_GOALS_05
62;OVER 0.5 HT [1.71- 2];276420092507;2022-08-07T21:11:15.003Z;2;1.75;BACK;1.5;Over 0.5 Goals;5851483;Fortaleza EC v Internacional;31630209;FIRST_HALF_GOALS_05;1.201615493;FIRST_HALF_GOALS_05
62;OVER 0.5 HT [1.71- 2];276499282364;2022-08-08T19:30:52.275Z;2;1.72;BACK;-2;Over 0.5 Goals;5851483;Gil Vicente v Pacos Ferreira;31629796;FIRST_HALF_GOALS_05;1.201608957;FIRST_HALF_GOALS_05
62;OVER 0.5 HT [1.71- 2];276509554839;2022-08-08T23:15:51.605Z;2;2.02;BACK;-2;Over 0.5 Goals;5851483;Coritiba v Santos;31631083;FIRST_HALF_GOALS_05;1.201633805;FIRST_HALF_GOALS_05
62;OVER 0.5 HT [1.71- 2];276525026287;2022-08-09T08:10:53.157Z;2;1.99;BACK;-2;Over 0.5 Goals;5851483;Sichuan Jiuniu FC v Guangxi Baoyun;31647897;FIRST_HALF_GOALS_05;1.201879106;FIRST_HALF_GOALS_05
62;OVER 0.5 HT [1.71- 2];276525327425;2022-08-09T08:17:22.247Z;2;2;BACK;2;Over 0.5 Goals;5851483;Nanjing Fengfan v Beijing Enterprises Group;31647898;FIRST_HALF_GOALS_05;1.201879316;FIRST_HALF_GOALS_05
62;OVER 0.5 HT [1.71- 2];276525558083;2022-08-09T08:23:22.482Z;2;1.78;BACK;1.56;Over 0.5 Goals;5851483;Hebei KungFu v Jiangxi Liansheng;31647921;FIRST_HALF_GOALS_05;1.201879013;FIRST_HALF_GOALS_05
62;OVER 0.5 HT [1.71- 2];276536745846;2022-08-09T11:46:22.636Z;2;1.73;BACK;1.46;Over 0.5 Goals;5851483;Heilongjiang Lava Spring v Beijing Tech FC;31647927;FIRST_HALF_GOALS_05;1.201879221;FIRST_HALF_GOALS_05
62;OVER 0.5 HT [1.71- 2];276596311570;2022-08-09T22:11:32.683Z;2;1.72;BACK;1.44;Over 0.5 Goals;5851483;Gremio v Operario PR;31636842;FIRST_HALF_GOALS_05;1.201707815;FIRST_HALF_GOALS_05
62;OVER 0.5 HT [1.71- 2];276596366579;2022-08-09T22:13:02.676Z;2;1.98;BACK;1.96;Over 0.5 Goals;5851483;Ituano v Sport Recife;31636850;FIRST_HALF_GOALS_05;1.201707595;FIRST_HALF_GOALS_05
62;OVER 0.5 HT [1.71- 2];276599619742;2022-08-09T23:43:03.072Z;2;1.89;BACK;-2;Over 0.5 Goals;5851483;CSA v Brusque FC;31636851;FIRST_HALF_GOALS_05;1.201707485;FIRST_HALF_GOALS_05
62;OVER 0.5 HT [1.71- 2];276600810369;2022-08-10T00:10:33.333Z;2;1.92;BACK;-2;Over 0.5 Goals;5851483;Londrina v Cruzeiro MG;31636840;FIRST_HALF_GOALS_05;1.201707925;FIRST_HALF_GOALS_05
62;OVER 0.5 HT [1.71- 2];276602448680;2022-08-10T00:40:34.030Z;2;1.84;BACK;1.68;Over 0.5 Goals;5851483;America de Cali S.A v Rionegro;31634324;FIRST_HALF_GOALS_05;1.201683240;FIRST_HALF_GOALS_05
62;OVER 0.5 HT [1.71- 2];276602706265;2022-08-10T00:44:33.695Z;2;1.72;BACK;1.44;Over 0.5 Goals;5851483;Independiente (Ecu) v Deportivo Tachira;31638419;FIRST_HALF_GOALS_05;1.201726630;FIRST_HALF_GOALS_05
62;OVER 0.5 HT [1.71- 2];276602706406;2022-08-10T00:44:33.976Z;2;1.96;BACK;1.92;Over 0.5 Goals;5851483;Sampaio Correa FC v Bahia;31636839;FIRST_HALF_GOALS_05;1.201708035;FIRST_HALF_GOALS_05
62;OVER 0.5 HT [1.71- 2];276602767292;2022-08-10T00:45:33.810Z;2;1.76;BACK;-2;Over 0.5 Goals;5851483;Flamengo v Corinthians;31634436;FIRST_HALF_GOALS_05;1.201682872;FIRST_HALF_GOALS_05
62;OVER 0.5 HT [1.71- 2];276875536286;2022-08-12T19:12:30.006Z;2;1.78;BACK;1.56;Over 0.5 Goals;5851483;Watford v Burnley;31626137;FIRST_HALF_GOALS_05;1.201554489;FIRST_HALF_GOALS_05
