ID do Bot;Nome do Bot;ID da ordem;Data;Stake;Odd;Tipo;P/L;Seleção;ID da Seleção;Evento;ID do Evento;Mercado;ID do Mercado;Tipo do Mercado
63;OVER 0.5 HT [2.02- 2.5];276288613489;2022-08-07T00:08:51.169Z;2;2.56;BACK;-2;Over 0.5 Goals;5851483;DC Utd v New York Red Bulls;31628098;FIRST_HALF_GOALS_05;1.201574605;FIRST_HALF_GOALS_05
63;OVER 0.5 HT [2.02- 2.5];276288613778;2022-08-07T00:08:54.401Z;2;2.44;BACK;-2;Over 0.5 Goals;5851483;FC Cincinnati v Philadelphia;31628116;FIRST_HALF_GOALS_05;1.201574275;FIRST_HALF_GOALS_05
63;OVER 0.5 HT [2.02- 2.5];276299459735;2022-08-07T03:04:45.745Z;2;2.12;BACK;-2;Over 0.5 Goals;5851483;Portland Timbers v FC Dallas;31625493;FIRST_HALF_GOALS_05;1.201533987;FIRST_HALF_GOALS_05
63;OVER 0.5 HT [2.02- 2.5];276360042089;2022-08-07T14:20:14.174Z;2;2.08;BACK;-2;Over 0.5 Goals;5851483;Dundee Utd v Livingston;31614044;FIRST_HALF_GOALS_05;1.201405064;FIRST_HALF_GOALS_05
63;OVER 0.5 HT [2.02- 2.5];276365262775;2022-08-07T14:45:46.714Z;2;2.04;BACK;-2;Over 0.5 Goals;5851483;Santa Clara v Casa Pia;31627487;FIRST_HALF_GOALS_05;1.201585595;FIRST_HALF_GOALS_05
63;OVER 0.5 HT [2.02- 2.5];276369975409;2022-08-07T15:14:15.577Z;2;2.12;BACK;-2;Over 0.5 Goals;5851483;AZ Alkmaar v Go Ahead Eagles;31629726;FIRST_HALF_GOALS_05;1.201607876;FIRST_HALF_GOALS_05
63;OVER 0.5 HT [2.02- 2.5];276377978697;2022-08-07T15:56:19.290Z;2;2.02;BACK;-2;Over 0.5 Goals;5851483;FC Koln v Schalke 04;31536151;FIRST_HALF_GOALS_05;1.200289235;FIRST_HALF_GOALS_05
63;OVER 0.5 HT [2.02- 2.5];276382596667;2022-08-07T16:19:17.789Z;2;2.06;BACK;-2;Over 0.5 Goals;5851483;Aldosivi v Huracan;31630993;FIRST_HALF_GOALS_05;1.201633055;FIRST_HALF_GOALS_05
63;OVER 0.5 HT [2.02- 2.5];276400602973;2022-08-07T18:24:46.006Z;2;2.28;BACK;-2;Over 0.5 Goals;5851483;San Lorenzo v Estudiantes;31631007;FIRST_HALF_GOALS_05;1.201632695;FIRST_HALF_GOALS_05
63;OVER 0.5 HT [2.02- 2.5];276408548986;2022-08-07T19:21:16.836Z;2;2.08;BACK;2.16;Over 0.5 Goals;5851483;Deportivo Pasto v Atletico Bucaramanga;31631433;FIRST_HALF_GOALS_05;1.201641178;FIRST_HALF_GOALS_05
63;OVER 0.5 HT [2.02- 2.5];276413113098;2022-08-07T19:52:47.871Z;2;2.12;BACK;2.24;Over 0.5 Goals;5851483;Chaves v Guimaraes;31629795;FIRST_HALF_GOALS_05;1.201609077;FIRST_HALF_GOALS_05
63;OVER 0.5 HT [2.02- 2.5];276418807233;2022-08-07T20:51:48.442Z;2;2.02;BACK;-2;Over 0.5 Goals;5851483;CA Independiente v River Plate;31631006;FIRST_HALF_GOALS_05;1.201632785;FIRST_HALF_GOALS_05
63;OVER 0.5 HT [2.02- 2.5];276500538296;2022-08-08T19:42:22.478Z;2;2.02;BACK;-2;Over 0.5 Goals;5851483;Gil Vicente v Pacos Ferreira;31629796;FIRST_HALF_GOALS_05;1.201608957;FIRST_HALF_GOALS_05
63;OVER 0.5 HT [2.02- 2.5];276509574704;2022-08-08T23:16:21.544Z;2;2.08;BACK;-2;Over 0.5 Goals;5851483;Coritiba v Santos;31631083;FIRST_HALF_GOALS_05;1.201633805;FIRST_HALF_GOALS_05
63;OVER 0.5 HT [2.02- 2.5];276525137262;2022-08-09T08:13:22.339Z;2;2.08;BACK;-2;Over 0.5 Goals;5851483;Sichuan Jiuniu FC v Guangxi Baoyun;31647897;FIRST_HALF_GOALS_05;1.201879106;FIRST_HALF_GOALS_05
63;OVER 0.5 HT [2.02- 2.5];276525377099;2022-08-09T08:18:22.494Z;2;2.02;BACK;2.04;Over 0.5 Goals;5851483;Nanjing Fengfan v Beijing Enterprises Group;31647898;FIRST_HALF_GOALS_05;1.201879316;FIRST_HALF_GOALS_05
63;OVER 0.5 HT [2.02- 2.5];276537278749;2022-08-09T11:54:52.979Z;2;2.04;BACK;2.08;Over 0.5 Goals;5851483;Heilongjiang Lava Spring v Beijing Tech FC;31647927;FIRST_HALF_GOALS_05;1.201879221;FIRST_HALF_GOALS_05
63;OVER 0.5 HT [2.02- 2.5];276596421541;2022-08-09T22:14:32.730Z;2;2.06;BACK;2.12;Over 0.5 Goals;5851483;Ituano v Sport Recife;31636850;FIRST_HALF_GOALS_05;1.201707595;FIRST_HALF_GOALS_05
63;OVER 0.5 HT [2.02- 2.5];276596576827;2022-08-09T22:18:32.711Z;2;2.02;BACK;2.04;Over 0.5 Goals;5851483;Gremio v Operario PR;31636842;FIRST_HALF_GOALS_05;1.201707815;FIRST_HALF_GOALS_05
63;OVER 0.5 HT [2.02- 2.5];276599741545;2022-08-09T23:46:03.141Z;2;2.02;BACK;-2;Over 0.5 Goals;5851483;CSA v Brusque FC;31636851;FIRST_HALF_GOALS_05;1.201707485;FIRST_HALF_GOALS_05
63;OVER 0.5 HT [2.02- 2.5];276600968044;2022-08-10T00:14:03.284Z;2;2;BACK;-2;Over 0.5 Goals;5851483;Londrina v Cruzeiro MG;31636840;FIRST_HALF_GOALS_05;1.201707925;FIRST_HALF_GOALS_05
63;OVER 0.5 HT [2.02- 2.5];276602767579;2022-08-10T00:45:34.081Z;2;2.04;BACK;2.08;Over 0.5 Goals;5851483;Sampaio Correa FC v Bahia;31636839;FIRST_HALF_GOALS_05;1.201708035;FIRST_HALF_GOALS_05
63;OVER 0.5 HT [2.02- 2.5];276602832719;2022-08-10T00:46:33.606Z;2;2.24;BACK;-2;Over 0.5 Goals;5851483;Tombense MG v Vila Nova;31636838;FIRST_HALF_GOALS_05;1.201708158;FIRST_HALF_GOALS_05
63;OVER 0.5 HT [2.02- 2.5];276603182805;2022-08-10T00:52:07.222Z;2;2.1;BACK;2.2;Over 0.5 Goals;5851483;Independiente (Ecu) v Deportivo Tachira;31638419;FIRST_HALF_GOALS_05;1.201726630;FIRST_HALF_GOALS_05
63;OVER 0.5 HT [2.02- 2.5];276603334287;2022-08-10T00:54:33.990Z;2;2.02;BACK;-2;Over 0.5 Goals;5851483;Flamengo v Corinthians;31634436;FIRST_HALF_GOALS_05;1.201682872;FIRST_HALF_GOALS_05
63;OVER 0.5 HT [2.02- 2.5];276873224622;2022-08-12T18:59:31.304Z;2;2.16;BACK;2.32;Over 0.5 Goals;5851483;Freiburg v Dortmund;31537563;FIRST_HALF_GOALS_05;1.200312726;FIRST_HALF_GOALS_05
63;OVER 0.5 HT [2.02- 2.5];276877505867;2022-08-12T19:22:32.899Z;2;2.1;BACK;-2;Over 0.5 Goals;5851483;Levante v Huesca;31641756;FIRST_HALF_GOALS_05;1.201786701;FIRST_HALF_GOALS_05
63;OVER 0.5 HT [2.02- 2.5];276878067537;2022-08-12T19:25:30.677Z;2;2.48;BACK;2.96;Over 0.5 Goals;5851483;Watford v Burnley;31626137;FIRST_HALF_GOALS_05;1.201554489;FIRST_HALF_GOALS_05
63;OVER 0.5 HT [2.02- 2.5];276889744331;2022-08-12T22:11:54.193Z;2;2.06;BACK;-2;Over 0.5 Goals;5851483;Vila Nova v Londrina;31645531;FIRST_HALF_GOALS_05;1.201826233;FIRST_HALF_GOALS_05
63;OVER 0.5 HT [2.02- 2.5];276890121617;2022-08-12T22:19:54.147Z;2;2.06;BACK;2.12;Over 0.5 Goals;5851483;Plaza Colonia v Cerro Largo FC;31648294;FIRST_HALF_GOALS_05;1.201887038;FIRST_HALF_GOALS_05
