IdBot;NomeBot;IdOrdem;Data;Stake;Odd;Tipo;PL;Selecao;IdSelecao
62;OVER 0.5 HT [1.71- 2];2.76299E+11;2022-08-07T02:57:24.237Z;2;1.84;BACK;-2;Over 0.5 Goals;5851483
62;OVER 0.5 HT [1.71- 2];2.76359E+11;2022-08-07T14:16:13.296Z;2;1.9;BACK;-2;Over 0.5 Goals;5851483
62;OVER 0.5 HT [1.71- 2];2.76365E+11;2022-08-07T14:44:17.578Z;2;1.98;BACK;-2;Over 0.5 Goals;5851483
62;OVER 0.5 HT [1.71- 2];2.76369E+11;2022-08-07T15:07:18.733Z;2;1.8;BACK;-2;Over 0.5 Goals;5851483
62;OVER 0.5 HT [1.71- 2];2.76376E+11;2022-08-07T15:46:18.360Z;2;1.71;BACK;-2;Over 0.5 Goals;5851483
62;OVER 0.5 HT [1.71- 2];2.76382E+11;2022-08-07T16:15:17.711Z;2;1.89;BACK;-2;Over 0.5 Goals;5851483
62;OVER 0.5 HT [1.71- 2];2.76399E+11;2022-08-07T18:11:44.392Z;2;1.73;BACK;-2;Over 0.5 Goals;5851483
62;OVER 0.5 HT [1.71- 2];2.76408E+11;2022-08-07T19:19:47.785Z;2;2;BACK;2;Over 0.5 Goals;5851483
62;OVER 0.5 HT [1.71- 2];2.76412E+11;2022-08-07T19:44:20.710Z;2;1.8;BACK;1.6;Over 0.5 Goals;5851483
62;OVER 0.5 HT [1.71- 2];2.76418E+11;2022-08-07T20:43:17.082Z;2;1.74;BACK;-2;Over 0.5 Goals;5851483
62;OVER 0.5 HT [1.71- 2];2.7642E+11;2022-08-07T21:11:15.003Z;2;1.75;BACK;1.5;Over 0.5 Goals;5851483
62;OVER 0.5 HT [1.71- 2];2.76499E+11;2022-08-08T19:30:52.275Z;2;1.72;BACK;-2;Over 0.5 Goals;5851483
62;OVER 0.5 HT [1.71- 2];2.7651E+11;2022-08-08T23:15:51.605Z;2;2.02;BACK;-2;Over 0.5 Goals;5851483
62;OVER 0.5 HT [1.71- 2];2.76525E+11;2022-08-09T08:10:53.157Z;2;1.99;BACK;-2;Over 0.5 Goals;5851483
62;OVER 0.5 HT [1.71- 2];2.76525E+11;2022-08-09T08:17:22.247Z;2;2;BACK;2;Over 0.5 Goals;5851483
62;OVER 0.5 HT [1.71- 2];2.76526E+11;2022-08-09T08:23:22.482Z;2;1.78;BACK;1.56;Over 0.5 Goals;5851483
62;OVER 0.5 HT [1.71- 2];2.76537E+11;2022-08-09T11:46:22.636Z;2;1.73;BACK;1.46;Over 0.5 Goals;5851483
62;OVER 0.5 HT [1.71- 2];2.76596E+11;2022-08-09T22:11:32.683Z;2;1.72;BACK;1.44;Over 0.5 Goals;5851483
62;OVER 0.5 HT [1.71- 2];2.76596E+11;2022-08-09T22:13:02.676Z;2;1.98;BACK;1.96;Over 0.5 Goals;5851483
62;OVER 0.5 HT [1.71- 2];2.766E+11;2022-08-09T23:43:03.072Z;2;1.89;BACK;-2;Over 0.5 Goals;5851483
62;OVER 0.5 HT [1.71- 2];2.76601E+11;2022-08-10T00:10:33.333Z;2;1.92;BACK;-2;Over 0.5 Goals;5851483
62;OVER 0.5 HT [1.71- 2];2.76602E+11;2022-08-10T00:40:34.030Z;2;1.84;BACK;1.68;Over 0.5 Goals;5851483
62;OVER 0.5 HT [1.71- 2];2.76603E+11;2022-08-10T00:44:33.695Z;2;1.72;BACK;1.44;Over 0.5 Goals;5851483
62;OVER 0.5 HT [1.71- 2];2.76603E+11;2022-08-10T00:44:33.976Z;2;1.96;BACK;1.92;Over 0.5 Goals;5851483
62;OVER 0.5 HT [1.71- 2];2.76603E+11;2022-08-10T00:45:33.810Z;2;1.76;BACK;-2;Over 0.5 Goals;5851483
62;OVER 0.5 HT [1.71- 2];2.76876E+11;2022-08-12T19:12:30.006Z;2;1.78;BACK;1.56;Over 0.5 Goals;5851483
62;OVER 0.5 HT [1.71- 2];2.76876E+11;2022-08-12T19:15:30.325Z;2;1.77;BACK;-2;Over 0.5 Goals;5851483
62;OVER 0.5 HT [1.71- 2];2.76896E+11;2022-08-13T00:40:56.622Z;2;1.77;BACK;-2;Over 0.5 Goals;5851483
62;OVER 0.5 HT [1.71- 2];2.76896E+11;2022-08-13T00:40:56.739Z;2;1.89;BACK;1.78;Over 0.5 Goals;5851483
62;OVER 0.5 HT [1.71- 2];2.7691E+11;2022-08-13T05:20:58.576Z;2;1.74;BACK;1.48;Over 0.5 Goals;5851483
62;OVER 0.5 HT [1.71- 2];2.76918E+11;2022-08-13T08:11:32.049Z;2;1.86;BACK;1.72;Over 0.5 Goals;5851483
62;OVER 0.5 HT [1.71- 2];2.76939E+11;2022-08-13T11:18:14.029Z;2;1.8;BACK;1.6;Over 0.5 Goals;5851483
62;OVER 0.5 HT [1.71- 2];2.76944E+11;2022-08-13T11:50:10.767Z;2;1.79;BACK;1.58;Over 0.5 Goals;5851483
