NomeBot;IdOrdem;Data;Odd;Stake;PLR
UNDER 0.5 FT [1.48- 2.5];2,83384E+11;07/10/2022;2.26;2;23.562
UNDER 0.5 FT [1.48- 2.5];2,83399E+11;08/10/2022;2.06;2;19.822
UNDER 0.5 FT [1.48- 2.5];2,83403E+11;08/10/2022;2.28;2;23.936
UNDER 0.5 FT [1.48- 2.5];2,83477E+11;08/10/2022;2.1;2;2.057
UNDER 0.5 FT [1.48- 2.5];2,83504E+11;08/10/2022;2.26;2;-2
UNDER 0.5 FT [1.48- 2.5];2,83513E+11;08/10/2022;2.02;2;19.074
UNDER 0.5 FT [1.48- 2.5];2,83514E+11;08/10/2022;2.02;2;19.074
UNDER 0.5 FT [1.48- 2.5];2,83518E+11;08/10/2022;2.06;2;19.822
UNDER 0.5 FT [1.48- 2.5];2,83578E+11;09/10/2022;2.02;2;-2
UNDER 0.5 FT [1.48- 2.5];2,83629E+11;09/10/2022;2.38;2;25.806
UNDER 0.5 FT [1.48- 2.5];2,8371E+11;09/10/2022;2.04;2;19.448
UNDER 0.5 FT [1.48- 2.5];2,83802E+11;10/10/2022;2.14;2;21.318
UNDER 0.5 FT [1.48- 2.5];2,83804E+11;10/10/2022;2.1;2;2.057
UNDER 0.5 FT [1.48- 2.5];2,83877E+11;11/10/2022;2.46;2;27.302
UNDER 0.5 FT [1.48- 2.5];2,8389E+11;11/10/2022;2.12;2;-2
UNDER 0.5 FT [1.48- 2.5];2,83893E+11;11/10/2022;2.52;2;-2
UNDER 0.5 FT [1.48- 2.5];2,839E+11;11/10/2022;2.44;2;-2
UNDER 0.5 FT [1.48- 2.5];2,83973E+11;12/10/2022;1.95;2;17.765
UNDER 0.5 FT [1.48- 2.5];2,83973E+11;12/10/2022;1.9;2;1.683
UNDER 0.5 FT [1.48- 2.5];2,83989E+11;12/10/2022;1.96;2;-2
UNDER 0.5 FT [1.48- 2.5];2,84093E+11;13/10/2022;1.87;2;16.269
UNDER 0.5 FT [1.48- 2.5];2,84099E+11;14/10/2022;2.38;2;25.806
UNDER 0.5 FT [1.48- 2.5];2,84216E+11;15/10/2022;1.87;2;-2
UNDER 0.5 FT [1.48- 2.5];2,84292E+11;15/10/2022;1.88;2;16.456
UNDER 0.5 FT [1.48- 2.5];2,84322E+11;15/10/2022;1.96;2;17.952
UNDER 0.5 FT [1.48- 2.5];2,84325E+11;15/10/2022;2;2;1.87
UNDER 0.5 FT [1.48- 2.5];2,84349E+11;15/10/2022;1.91;2;17.017
UNDER 0.5 FT [1.48- 2.5];2,84353E+11;15/10/2022;2.42;2;26.554
UNDER 0.5 FT [1.48- 2.5];2,84461E+11;16/10/2022;2.38;2;-2
UNDER 0.5 FT [1.48- 2.5];2,84479E+11;16/10/2022;2.36;2;-2
UNDER 0.5 FT [1.48- 2.5];2,84527E+11;17/10/2022;2.22;2;22.814
UNDER 0.5 FT [1.48- 2.5];2,84721E+11;18/10/2022;2.36;2;-2
UNDER 0.5 FT [1.48- 2.5];2,84825E+11;19/10/2022;2.14;2;-2
UNDER 0.5 FT [1.48- 2.5];2,84826E+11;19/10/2022;2.02;2;-2
UNDER 0.5 FT [1.48- 2.5];2,85125E+11;22/10/2022;2.32;2;-2
UNDER 0.5 FT [1.48- 2.5];2,85157E+11;22/10/2022;2;2;1.87
UNDER 0.5 FT [1.48- 2.5];2,85159E+11;22/10/2022;2.04;2;-2
UNDER 0.5 FT [1.48- 2.5];2,8517E+11;22/10/2022;2.38;2;25.806
UNDER 0.5 FT [1.48- 2.5];2,85209E+11;22/10/2022;2.28;2;-2
UNDER 0.5 FT [1.48- 2.5];2,85299E+11;23/10/2022;2.16;2;21.692
UNDER 0.5 FT [1.48- 2.5];2,85299E+11;23/10/2022;2.32;2;-2
UNDER 0.5 FT [1.48- 2.5];2,8533E+11;23/10/2022;1.95;2;17.765
UNDER 0.5 FT [1.48- 2.5];2,85545E+11;25/10/2022;2.42;2;-2
UNDER 0.5 FT [1.48- 2.5];2,85545E+11;25/10/2022;2.18;2;22.066
UNDER 0.5 FT [1.48- 2.5];2,85547E+11;25/10/2022;2.48;2;27.676
UNDER 0.5 FT [1.48- 2.5];2,85547E+11;25/10/2022;2.52;2;-2
UNDER 0.5 FT [1.48- 2.5];2,85555E+11;25/10/2022;2.24;2;23.188
UNDER 0.5 FT [1.48- 2.5];2,85849E+11;28/10/2022;2.36;2;25.432
UNDER 0.5 FT [1.48- 2.5];2,85849E+11;28/10/2022;2.44;2;-2
UNDER 0.5 FT [1.48- 2.5];2,85951E+11;29/10/2022;2.06;2;19.822
UNDER 0.5 FT [1.48- 2.5];2,85987E+11;29/10/2022;1.89;2;16.643
UNDER 0.5 FT [1.48- 2.5];2,85987E+11;29/10/2022;1.93;2;-2
UNDER 0.5 FT [1.48- 2.5];2,86015E+11;29/10/2022;2.02;2;19.074
UNDER 0.5 FT [1.48- 2.5];2,86115E+11;30/10/2022;1.9;2;1.683
UNDER 0.5 FT [1.48- 2.5];2,8616E+11;30/10/2022;2.18;2;22.066
UNDER 0.5 FT [1.48- 2.5];2,86176E+11;30/10/2022;2.32;2;24.684
UNDER 0.5 FT [1.48- 2.5];2,8618E+11;30/10/2022;2.42;2;26.554
UNDER 0.5 FT [1.48- 2.5];2,8618E+11;30/10/2022;2.06;2;19.822
UNDER 0.5 FT [1.48- 2.5];2,86267E+11;31/10/2022;2.26;2;-2
UNDER 0.5 FT [1.48- 2.5];2,86347E+11;01/11/2022;2.5;2;2.805
UNDER 0.5 FT [1.48- 2.5];2,86363E+11;01/11/2022;2.28;2;23.936
UNDER 0.5 FT [1.48- 2.5];2,86456E+11;02/11/2022;2.46;2;27.302
UNDER 0.5 FT [1.48- 2.5];2,86457E+11;02/11/2022;1.87;2;-2
UNDER 0.5 FT [1.48- 2.5];2,86555E+11;03/11/2022;2.16;2;21.692
UNDER 0.5 FT [1.48- 2.5];2,86677E+11;05/11/2022;1.99;2;-2
UNDER 0.5 FT [1.48- 2.5];2,86758E+11;05/11/2022;1.89;2;16.643
UNDER 0.5 FT [1.48- 2.5];2,86758E+11;05/11/2022;2.2;2;2.244
UNDER 0.5 FT [1.48- 2.5];2,86791E+11;05/11/2022;2.06;2;-2
UNDER 0.5 FT [1.48- 2.5];2,8692E+11;06/11/2022;2.46;2;27.302
UNDER 0.5 FT [1.48- 2.5];2,86942E+11;06/11/2022;1.9;2;-2
UNDER 0.5 FT [1.48- 2.5];2,86979E+11;06/11/2022;1.89;2;16.643
UNDER 0.5 FT [1.48- 2.5];2,87149E+11;08/11/2022;2.3;2;-2
UNDER 0.5 FT [1.48- 2.5];2,87274E+11;10/11/2022;2.24;2;-2
UNDER 0.5 FT [1.48- 2.5];2,87452E+11;11/11/2022;1.94;2;-2
UNDER 0.5 FT [1.48- 2.5];2,87573E+11;12/11/2022;1.94;2;17.578
UNDER 0.5 FT [1.48- 2.5];2,87573E+11;12/11/2022;2.26;2;23.562
UNDER 0.5 FT [1.48- 2.5];2,87574E+11;12/11/2022;2.16;2;21.692
UNDER 0.5 FT [1.48- 2.5];2,87576E+11;12/11/2022;2;2;1.87
UNDER 0.5 FT [1.48- 2.5];2,87582E+11;12/11/2022;1.86;2;-2
UNDER 0.5 FT [1.48- 2.5];2,8759E+11;12/11/2022;2.12;2;20.944
UNDER 0.5 FT [1.48- 2.5];2,87591E+11;12/11/2022;1.87;2;16.269
UNDER 0.5 FT [1.48- 2.5];2,87607E+11;12/11/2022;2.02;2;19.074
UNDER 0.5 FT [1.48- 2.5];2,87668E+11;13/11/2022;2.34;2;-2
UNDER 0.5 FT [1.48- 2.5];2,87695E+11;13/11/2022;2.46;2;-2
UNDER 0.5 FT [1.48- 2.5];2,91697E+11;02/01/2023;1.95;2;-2
UNDER 0.5 FT [1.48- 2.5];2,91699E+11;02/01/2023;2.06;2;-2
UNDER 0.5 FT [1.48- 2.5];2,91863E+11;04/01/2023;2.2;2;2.244
UNDER 0.5 FT [1.48- 2.5];2,92139E+11;07/01/2023;2.32;2;-2
UNDER 0.5 FT [1.48- 2.5];2,92144E+11;07/01/2023;2.44;2;26.928
UNDER 0.5 FT [1.48- 2.5];2,92162E+11;07/01/2023;2.42;2;-2
UNDER 0.5 FT [1.48- 2.5];2,92176E+11;07/01/2023;2.06;2;-2
UNDER 0.5 FT [1.48- 2.5];2,92176E+11;07/01/2023;2.44;2;26.928
UNDER 0.5 FT [1.48- 2.5];2,92245E+11;08/01/2023;2.28;2;-2
UNDER 0.5 FT [1.48- 2.5];2,92263E+11;08/01/2023;1.94;2;17.578
UNDER 0.5 FT [1.48- 2.5];2,92267E+11;08/01/2023;2.3;2;-2
UNDER 0.5 FT [1.48- 2.5];2,928E+11;14/01/2023;2.04;2;19.448
UNDER 0.5 FT [1.48- 2.5];2,92828E+11;14/01/2023;2;2;-2
UNDER 0.5 FT [1.48- 2.5];2,92828E+11;14/01/2023;2.04;2;19.448
UNDER 0.5 FT [1.48- 2.5];2,92829E+11;14/01/2023;2.28;2;-2
UNDER 0.5 FT [1.48- 2.5];2,92829E+11;14/01/2023;2.14;2;-2
UNDER 0.5 FT [1.48- 2.5];2,92866E+11;14/01/2023;2.32;2;-2
UNDER 0.5 FT [1.48- 2.5];2,92867E+11;14/01/2023;2.46;2;27.302
