NomeBot;IdOrdem;Data;Odd;Stake;PLR
VOVO CASA [1.01 - 1.10];283393626605;2022-10-07;1.06;2;0.1122
VOVO CASA [1.01 - 1.10];283513421469;2022-10-08;1.01;2;0.0187
VOVO CASA [1.01 - 1.10];283514083877;2022-10-08;1.04;2;0.0748
VOVO CASA [1.01 - 1.10];283514237340;2022-10-08;1.03;2;0.0561
VOVO CASA [1.01 - 1.10];283519326262;2022-10-08;1.01;2;0.0187
VOVO CASA [1.01 - 1.10];283547782411;2022-10-08;1.01;2;0.0187
VOVO CASA [1.01 - 1.10];284085462975;2022-10-13;1.01;2;0.0187
VOVO CASA [1.01 - 1.10];284088893589;2022-10-13;1.02;2;0.0374
VOVO CASA [1.01 - 1.10];284434571009;2022-10-16;1.04;2;0.0748
VOVO CASA [1.01 - 1.10];284481375699;2022-10-16;1.02;2;0.0374
VOVO CASA [1.01 - 1.10];284713532812;2022-10-18;1.04;2;0.0748
VOVO CASA [1.01 - 1.10];284826045128;2022-10-19;1.01;2;0.0187
VOVO CASA [1.01 - 1.10];284929411725;2022-10-21;1.01;2;0.0187
VOVO CASA [1.01 - 1.10];285046297282;2022-10-22;1.03;2;0.0561
VOVO CASA [1.01 - 1.10];285209199205;2022-10-22;1.01;2;0.0187
VOVO CASA [1.01 - 1.10];285328371023;2022-10-23;1.03;2;0.0561
VOVO CASA [1.01 - 1.10];285347589119;2022-10-23;1.01;2;0.0187
VOVO CASA [1.01 - 1.10];286541884945;2022-11-03;1.01;2;0.0187
VOVO CASA [1.01 - 1.10];286541885033;2022-11-03;1.03;2;0.0561
VOVO CASA [1.01 - 1.10];286555677018;2022-11-03;1.01;2;-0.16
VOVO CASA [1.01 - 1.10];286662748007;2022-11-04;1.05;2;0.0935
VOVO CASA [1.01 - 1.10];286663772758;2022-11-04;1.01;2;0.0187
VOVO CASA [1.01 - 1.10];286790728971;2022-11-05;1.02;2;-0.19
VOVO CASA [1.01 - 1.10];286793201897;2022-11-05;1.01;2;0.0187
VOVO CASA [1.01 - 1.10];286828090619;2022-11-05;1.02;2;0.0374
VOVO CASA [1.01 - 1.10];286834941983;2022-11-05;1.03;2;0.0561
VOVO CASA [1.01 - 1.10];286841657839;2022-11-06;1.02;2;0.0374
VOVO CASA [1.01 - 1.10];287149679940;2022-11-08;1.05;2;0.0935
VOVO CASA [1.01 - 1.10];287574691306;2022-11-12;1.02;2;0.0374
VOVO CASA [1.01 - 1.10];287575839119;2022-11-12;1.03;2;0.0561
VOVO CASA [1.01 - 1.10];287673365154;2022-11-13;1.01;2;0.0187
VOVO CASA [1.01 - 1.10];287685814081;2022-11-13;1.01;2;0.0187
VOVO CASA [1.01 - 1.10];287739051072;2022-11-13;1.01;2;0.0187
VOVO CASA [1.01 - 1.10];287739051109;2022-11-13;1.04;2;0.0748
VOVO CASA [1.01 - 1.10];287806303445;2022-11-14;1.03;2;0.0561
VOVO CASA [1.01 - 1.10];287807322415;2022-11-14;1.01;2;0.0187
VOVO CASA [1.01 - 1.10];287874346049;2022-11-15;1.01;2;0.0187
VOVO CASA [1.01 - 1.10];291698068552;2023-01-02;1.05;2;0.0935
VOVO CASA [1.01 - 1.10];292035832106;2023-01-06;1.01;2;0.0187
VOVO CASA [1.01 - 1.10];292144304345;2023-01-07;1.02;2;0.0374
VOVO CASA [1.01 - 1.10];292239003506;2023-01-08;1.02;2;0.0374
