NomeBot;IdOrdem;Data;Odd;Stake;PLR
VOVO FORA [1.01 - 1.10];282985889579;2022-10-04;1.04;2;0.0748
VOVO FORA [1.01 - 1.10];283191097077;2022-10-06;1.06;2;0.0187
VOVO FORA [1.01 - 1.10];283273353139;2022-10-06;1.02;2;0.0374
VOVO FORA [1.01 - 1.10];283426462319;2022-10-08;1.02;2;0.0374
VOVO FORA [1.01 - 1.10];283466369720;2022-10-08;1.01;2;0.0187
VOVO FORA [1.01 - 1.10];283514797028;2022-10-08;1.07;2;0.1309
VOVO FORA [1.01 - 1.10];283514969513;2022-10-08;1.01;2;0.0187
VOVO FORA [1.01 - 1.10];283516359662;2022-10-08;1.04;2;-0.28
VOVO FORA [1.01 - 1.10];283547934712;2022-10-08;1.01;2;0.0187
VOVO FORA [1.01 - 1.10];283573674783;2022-10-08;1.02;2;0.0374
VOVO FORA [1.01 - 1.10];283646433292;2022-10-09;1.04;2;0.0748
VOVO FORA [1.01 - 1.10];283707514324;2022-10-09;1.04;2;0.0748
VOVO FORA [1.01 - 1.10];283712220105;2022-10-09;1.01;2;0.0187
VOVO FORA [1.01 - 1.10];283721214944;2022-10-09;1.09;2;0.1683
VOVO FORA [1.01 - 1.10];283722383405;2022-10-09;1.03;2;0.0561
VOVO FORA [1.01 - 1.10];283791155573;2022-10-10;1.03;2;0.0561
VOVO FORA [1.01 - 1.10];283801684446;2022-10-10;1.09;2;0.1683
VOVO FORA [1.01 - 1.10];283815718596;2022-10-11;1.03;2;0.0561
VOVO FORA [1.01 - 1.10];283967080592;2022-10-12;1.02;2;0.0374
VOVO FORA [1.01 - 1.10];284068704987;2022-10-13;1.02;2;0.0374
VOVO FORA [1.01 - 1.10];284323823135;2022-10-15;1.05;2;0.0935
VOVO FORA [1.01 - 1.10];284324617438;2022-10-15;1.03;2;0.0561
VOVO FORA [1.01 - 1.10];284372574439;2022-10-15;1.01;2;0.0187
VOVO FORA [1.01 - 1.10];284437881436;2022-10-16;1.02;2;-0.21
VOVO FORA [1.01 - 1.10];284442755112;2022-10-16;1.01;2;-0.2
VOVO FORA [1.01 - 1.10];284449219895;2022-10-16;1.08;2;0.1496
VOVO FORA [1.01 - 1.10];284470449204;2022-10-16;1.06;2;0.1122
VOVO FORA [1.01 - 1.10];284713639588;2022-10-18;1.1;2;0.187
VOVO FORA [1.01 - 1.10];284826984095;2022-10-19;1.03;2;0.0561
VOVO FORA [1.01 - 1.10];285014242687;2022-10-21;1.01;2;0.0187
VOVO FORA [1.01 - 1.10];285103303767;2022-10-22;1.05;2;0.0935
